Region,Response,Response_level,ID,value,LwrEstimate,estimate,UprEstimate,disease_risk_change,drisk
gbr,Fish,500.0,gbr_3,0.0,0.0,0.7124999999999999,1.5079999999999996,1.0,0
gbr,Fish,550.0,gbr_3,0.0,0.0,0.025,1.0,0.0,0
gbr,Fish,600.0,gbr_3,0.0,0.0,0.085,0.7139999999999997,0.0,0
gbr,Fish,650.0,gbr_3,0.0,0.0,0.1025,0.5609999999999999,0.0,0
gbr,Fish,700.0,gbr_3,0.0,0.0,0.2,0.6249999999999997,0.0,0
gbr,Fish,750.0,gbr_3,0.0,0.0,0.25,0.6739999999999998,0.0,0
gbr,Fish,800.0,gbr_3,0.0,0.0,0.25,0.766999999999999,0.0,0
gbr,Turbidity,0.0,gbr_3,0.0,0.2,0.67,1.25,1.0,0
gbr,Turbidity,0.1,gbr_3,0.0,0.0,0.1475,1.0119999999999991,0.0,0
gbr,Turbidity,0.2,gbr_3,0.0,0.295,2.5,5.0,2.0,0
gbr,Turbidity,0.3,gbr_3,0.0,0.235,2.5,5.0,2.0,0
gbr,Turbidity,0.4,gbr_3,0.0,0.235,2.5,5.0,2.0,0
gbr,Turbidity,0.5,gbr_3,0.0,0.25,2.5,5.0,2.0,0
gbr,Turbidity,0.6,gbr_3,0.0,0.25,2.5,5.0,2.0,0
gbr,Turbidity,0.7,gbr_3,0.0,0.25,2.5,5.0,2.0,0
gbr,Turbidity,0.8,gbr_3,0.0,0.25,2.5,5.0,2.0,0
gbr,Turbidity,0.9,gbr_3,0.0,0.25,2.5,5.0,2.0,0
gbr,Turbidity,1.0,gbr_3,0.0,0.25,2.5,5.0,2.0,0
gbr,Coral cover,5.0,gbr_4,0.0,0.0,0.51,1.18,0.0,0
gbr,Coral cover,15.0,gbr_4,0.0,0.0,0.25,0.7049999999999996,0.0,0
gbr,Coral cover,25.0,gbr_4,0.0,0.0,0.25,0.7139999999999997,0.0,0
gbr,Coral cover,35.0,gbr_4,0.0,0.0,0.25,0.8099999999999995,0.0,0
gbr,Coral cover,45.0,gbr_4,0.0,0.0,0.2275,1.0,0.0,0
gbr,Coral cover,55.0,gbr_4,0.0,0.0,0.2625,1.0,-0.0,0
